Contribution_Number,Rating_Overall,Topic,Date_Visit,Visit_Type,Detail,Aspect_Value,Aspect_Service,Aspect_Food,Aspect_Atmosphere,Date_Written
16,4,Worth the lunchtime wait.,ก.ค.-23,Friends,"Great food, worth the wait over lunch. We had soft shell crab kai soy and it was the best we have had in Chiang Mai. Service was efficient, food selection extensive. Drink selection a little small.",,,,,"July 20, 2023"
324,4,Khao Soi of quality and pleasant place . . .,ม.ค.-23,,"One evening around 7:45 p.m. in Nimman, it is sometimes difficult to find a restaurant that serves you because many close at 8:00 p.m. We walked past this restaurant and took a chance, still seeing many customers seated. Faced with our dismay, the employees of Kao Soi Nimman, after consulting the kitchen, kindly agreed to quickly serve us a Khao Soi. Chance sometimes doing things well, it was excellent and we enjoyed ourselves. The place is a kind of large covered terrace, very pleasant. Friendly and efficient staff. An unpretentious but highly recommendable place. Read less",5,5,4,,"March 17, 2023"
258,5,Great northern style Thai food,ธ.ค.-22,Friends,"Great northern style Thai food in Nimman area. As I have been living in Thailand for a year I can say this is one if the best restaurants I have been to. Tried the Larb moo, Khao soy and northern style sausage, all foods were great! Restaurant should keep open longer than 9pm, i’m sure there would be customers!",,,,,"December 6, 2022"
114,5,Interesting outdoor vibe,ธ.ค.-22,Family,We came here on our last evening what amazing food we ate. The Kao Soy stewed beef was incredible. The Yod Fuk Mae Nam Man Hoi vegetables was delicious. Also enjoyed the vegetable spring rolls. We ended our dinner with a yummy Thai Iced dessert.,,,,,"December 2, 2022"
103,4,One of the best Khao Soy in Nimman area,พ.ย.-22,,"Not too far from where we stayed in Nimman, a short walk from Stay with Nimman. The restaurant is not fancy, just a simple set up with both seating inside (A/C) and outdoor, great vibes. Few choices of khao soi on its menu + other Northern dishes, We had the chicken khao soi and other plate of Nam Prik Num with fermented sour sausages and vegetable, yummy and we enjoyed. The soup of the khao soi is so much texture in it, creamy, had to order another bowl. Will revisit in the future when we are back to Nimman. Read less",4,4,4,,"November 21, 2022"
36,5,Authentic & gastronomical ❤️,พ.ย.-22,Couples,"Packed with flavors. Good and fast service. Polite and accommodating staff. Overall, authentic and gastronomical. ❤️",,,,,"November 8, 2022"
38,5,Top place for Khao soi,ต.ค.-22,Family,One of the top local places for khao soi . Place is always full with queues. Different types of Khao soi . Featured in Michelin guide,,,,,"October 8, 2022"
99,5,Best khao soy restaurant in Thailand,ก.ค.-22,Couples,"This has been the best khao soy I have ever had in my life. I would recommend this place to anyone, anytime. LOVE the food here.",,,,,"July 25, 2022"
53,5,10/10 Khao Soy,มิ.ย.-22,Couples,Absolutely delicious khao soy and so inexpensive. Would have ordered another bowl if I could have eaten it. Will 100% return,,,,,"June 15, 2022"
43,5,Delicious food,พ.ย.-20,Couples,"This it the first time for me for Chiang Mai and for Khao Soi that make me amazing. It's very good for first experience, many people in the restaurant;Thai and foreigner. All of staffs are helpful also a drink that very creat, there use local herb serve in the Thai style bowl but so sweet.However the next time we will come back agsin.",,,,,"December 8, 2020"
19,5,Epic Food!!!,มี.ค.-20,Couples,"The food here is insane, the service we where warned was slow however they have installed bells on the table. (There was no need to use them as the staff where attentive) We had the Kao Soy with beef, as well as pork jerky and spring rolls!!! Make sure to add this to you dinning out list during your stay!!!!",,,,,"March 16, 2020"
131,4,Delicious Khao Soy!,ก.พ.-20,,"A quaint and popular Khao Soy restaurant in the Nimman area. I find the deco very nice and calming with a selection of air conditioned and outdoor dining area available. The place was quite crowded when I dropped by during lunch. However the service was prompt with English menu booklet available. Basically, the menu just consists of Khao Soy noodles with different toppings of both vegetarian and non vegetarian options. Food was served promptly, but I find the portion a little small for the price paid. Overall, it was a delicious bowl of noodle and this is a good place to try one of the signature Chiang Mai dish for first timers!",3,3,4,,"February 18, 2020"
85,5,"Beautiful restaurant, fantastic food!",ก.พ.-20,Friends,"Beautiful restaurant, beautiful food! My friends all had variations of the traditional Northern Thai dish Khoa Soy, 2 had the vegetarian option of mushroom, and the other roast pork. They were fresh & slightly spicy but not blow your head off spicy! I had the Fish curry which came with rice noodles, ginger, Thai crackers, crushed walnuts & chillies. It was devine. Spicy, coconut creamy & the fish in the curry was Thai fish balls. There’s a hell at the table you press for service which is quite nice. Press & a friendly waiter/waitress quickly arrives at the table. Only drawback was paying for ice in our drinks but apart from that, it’s a must eat for Chaing Mai 😊 Read less",,,,,"February 7, 2020"
11,4,Yummy Khao Soy,ธ.ค.-19,,"We went here by a recommendation from a friend and really enjoyed our meals, especially for the cost! Highly recommend!",,,,,"January 7, 2020"
787,4,Koa Soy Lunch,ธ.ค.-19,Friends,"Nice ambient, friendly service with indoor and outdoor seating. The Koa Soy is delicious, noodle are done to correct texture. Fragrant curry broth, slightly a bit too sweet otherwise balance in Flavour. The Northern Thai pork fish (Hors D-oeuvre Muang) is well presented, meats in different styles done to our liking. The 2 dipping sauces are tasty. The Kang Ho mixed Curry is not done to our liking, sweet and lack of flavour. Still, an enjoyable lunch.",,,,,"December 14, 2019"
44,5,A must visit! We returned within 2 days for more :),ธ.ค.-19,Couples,"We were exploring the area, chanced upon this place and decided to give it a try, as the place seemed popular with locals and tourist alike. The Kao Soi definitely did not disappoint! I had Kao Soi with mushroom, while my husband had their Signature big bowl of Kao Soi. We loved it so much that we came back within 2 days :) Portion size, for the noodles we felt that it could have been a bit more, so for our 2nd time around, we ordered additional noodles (at 20 baht each). A plus point is that service is brisk and our food came fast. A must visit! Read less",,,,,"December 11, 2019"
120,4,Great place for Kao Soy in the evening,ธ.ค.-19,Family,"The best Kao Soy is served as street food but this place saved us from almost leaving Chiang Mai without having eaten Kao Soy! There’s a ton of variety and it’s one of the only places you can get Kao Soy in the evening, since it’s typically served as breakfast or lunch (before 12). When we arrived, it looked like there was a big line but it moved very quickly and they provide seating and menus while you wait. Read less",,,,,"December 9, 2019"
35,4,Pretty good kao soy,ต.ค.-19,Couples,"My husband loves khao soi, so we were on the hunt for the best khao soi in town, and saw the great reviews on this place! Although not the best khao soi, it was pretty delicious! When we got there around lunch time, there was a huge line up! We contemplated waiting or not, but ultimately decided to since we were there anyways and we really wanted to try this place out. We got our number from the hostess and she told us there were 20 numbers ahead of us so we were prepared to wait for at least an hour. There is a bubble tea place right beside it so we ordered a bubble tea while we waited. To our surprise, the wait only took about 25 minutes! We got seated in the air-conditioned space at the back, which was good because it was such a hot day out! I ordered the chicken khao soi, my husband ordered the beef khao soi, and we also got the crispy wontons and steamed vegetables to share. The food came within 10 minutes, which was very reasonable. The khao soi tasted quite good, just the right amount of richness, and not too spicy. Since this place is so popular among tourists, we felt that perhaps the dish was not truly authentic, compared to some other khao soi we have tried. Delicious food nonetheless! The food was definitely tourist pricing since it was pricier than most other local restaurants, but we expected that going in so no surprises there. I would definitely return to this place if I find myself in Chiang Mai again, but I’d probably try to go a bit earlier to avoid the lunch time rush. Read less",,,,,"November 30, 2019"
22,3,Not true Khao soi,พ.ย.-19,Couples,"Sorry to say this didn't live up to expectations. Khao soi was very spicy, oily and red, I've had this multiple times and is usually mild and yellow. Admittedly I am not good with spice but my partner who loves spice said he thought it was spicy (he was sweating!) My advice is come if you want a spicy Khao soi, but not if you want it how it should actually taste. Portions are also on the smaller side and more expensive than we had paid previously. We got a fried rice which tasted good.",,,,,"November 28, 2019"
4,5,"highly recon this place, specially",พ.ย.-19,,"highly recon this place, specially for ppl eho loves curry soup Came here for d second time in 6 days",,,,,"November 27, 2019"
178,2,Kao Soy was underwhelming and bathroom was dirty,พ.ย.-19,,The beef Kao Soy was ok but not fantastic. It was mild in flavor and came out lukewarm. We also ordered the calamari which was not good because it was 75% thick batter and not much squid. We also didn’t like the pork jerky which was too sweet. The only dish we all liked was the chicken satay. But the worse part was the dirty bathroom. Can’t recommend a restaurant if they can’t manage to clean their bathroom.,,,,,"November 18, 2019"
6,5,All the best kao soy,พ.ย.-19,,"The kao soy at this place was incredible! Excellent price, great service and even better food. They have options for vegetarians too!",5,5,5,,"November 18, 2019"
63,4,"Authentic Dishes, Elevated Taste",พ.ย.-19,,"Escorted by Joe, my Thai's friend, on a street in Nimman Road area, Kao Soy Nimman restaurant is one of a must visit destination while wondering around Chiang Mai. Its authentic dish of Kao Soy Kai (Chicken Northern Thai Noddle) has made my taste experience rise to an high elevated level. It also make me loved the dish so much. Six days of meeting in Chiang Mai has made me crazy in love with this food.",5,4,5,,"November 17, 2019"
32,5,Our dinner here made our day!,พ.ย.-19,,"We came to Kay Soy Nimman after a really long day full of chaos. We were lucky enough to get our table after about 2 minutes of waiting only. The staff were very helpful and attentive. We had our dishes served very quickly after our order is placed. The space, the vibe and their decoration were very nice too, especially the dishes. A beautiful looking dish definitely makes your meal taste even better. Food and desserts were all very yummy. Totally worth the money and our dinner at Kao Soy that night was a silver lining indeed!",5,5,5,,"November 16, 2019"
576,5,Ancient Local Nothern Dish,พ.ย.-19,Couples,"I had to try the northern dish Khao Soi, while in Chiang Mai. We had walked past the restaurant, the day before and it was packed. We came back and were very pleased with the dish. My wife had the option with chicken leg, and I the fried pork. There is seating both inside and outside. The chili paste was also excellent.",,,,,"November 14, 2019"
146,4,Tasty food,ต.ค.-19,,Wanted to try the Khao Soi Pa Nao opposite but it was quite crowded so tried this instead. Much quieter (less popular and not so nice??) and got a table easily. My friend ordered their THB120 Khao Soi and I had chicken bee hoon soup due to bad tummy. Overall the food was tasty and no regrets. Free fruits for dessert after the meal. Opposite place seems to be more for the younger crowd. There were posters of Teresa Teng inside. Lady boss looked a little unfriendly but I think that's' the way she appears,4,4,4,,"November 6, 2019"
191,5,Great service and food,ต.ค.-19,Solo,Found this place while walking around. Friendly and quick service. Food was tasty. They have air con and outside options. Sat outside. It was excellent. Highly recommend.,,,,,"October 15, 2019"
2,5,Good food at a reasonable price,ต.ค.-19,Couples,Myself and my partner went here for lunch. It took about 5mins waiting to be seated as it was busy. But once inside we were served quickly and the food was good and reasonably priced. Can't really complain about it.,,,,,"October 13, 2019"
18,3,Overrated but okay food,ก.ย.-19,Friends,"We went there due to one of our friend’s research online. To be honest, the food was not bad, but it definitely didn’t blow our minds. We got two different kinds of khao soi, one with chicken and another with seafood, some northern Thai veggies, and some grilled pork with garlic (which was the highlight of the meal for sure!) However, they charged at a relatively premium price to other khao soi places, so for me it’s not worth the price of admission. If you don’t mind paying extra for a place that has a little better ambience, then I would recommend this place. If you want a hole in the wall/mom & pop shop place with more authentic northern Thai food, then look somewhere else.",,,,,"September 18, 2019"
17,4,"Excellent, expensive Thai food",ส.ค.-19,,"This place offers very good Kao Soy--a must-eat dish in Chiang Mai. The restaurant has a nice atmosphere. The prices are not superb though, with most of the dishes costing at least 79THB. There are cheaper options for Kao Soy.",3,3,4,,"August 28, 2019"
79,3,"Good noodles, very spicy.",ส.ค.-19,Couples,"We came here to try something other than street food, and it was tasty. Overpriced compared to the street vendors that make very delicious food as well, but if you’re not into the street food scene, it’s a good way to eat local cuisine in a restaurant type place.",,,,,"August 28, 2019"
104,3,Overrated,ส.ค.-19,Solo,I find Khao Soy Mae Sai is definitely taste better and with tender chicken served. Strategic location and expected to Q for sure.,,,,,"August 12, 2019"
2,2,Good food but not customer oriented,มิ.ย.-19,Couples,"My boyfriend and I wanted to try Khao Soi and this place came up on many ""best lists"". We were sat and ordered a few minutes later. Shortly after our food arrived we were given the bill, which was thought was strange since this was a trendy sit down restaurant and not a McDonalds or KFC. Instead of allowing us to enjoy our meal in peace, the server who brought the bill continued to stand at our table which made us feel incredibly awkward. Then our waitress, who spoke English, informed us that since the restaurant closed at 8pm we were required to pay at this time. As my boyfriend paid, I looked at my watch expecting it to be close to closing time. To my annoyed surprise, it was 40 minutes until closing time! If it had been 10-15 minutes, I would have understood but rushing customers 30+ minutes before closing time is unacceptable! Read less",3,1,3,,"July 22, 2019"
43,5,Such nice Nothern Thai cuisine!,มิ.ย.-19,Friends,"The restaurant is so tidy and modern, just perfect for foreigner tourists who wish to enjoy authetic local tastes of Thailand in Chiang Mai with no compromise for the cleaness and atmosphere. Staff can communicate in English. Their signature curry noodle is so perfect with generous portion of meat!! I preferred the pork version :)",,,,,"July 2, 2019"
4,4,Recommended by Many Locals,มิ.ย.-19,Friends,"Visited Kao Soy after recommendations from tour guides from a cooking class and elephant conservatory that my friends and I visited. Food was served relatively quickly and was delicious. Spice was just the right kind of “tourist spicy”— unsure if you can ask for more spice. Some interesting things of note: Boba Tea is from the place next door and they require you to pay when you get your drink. Last call for food/alcohol is 7:30. They have a service bell, but I found that getting the attention of the wait staff was typically much quicker. Read less",,,,,"June 12, 2019"
315,4,It is a famous restaurant for Chiang mai Traditional food,พ.ค.-19,Family,"I and my family come here on the first day stay in One nimman hotel. It is famous restaurant for tourists who want to try some kind of Chiang mai foods, Especially delicious is Kao, Hot dog and sweet soup. The price are reasonable for tourists. Because it is famous so that if you want to eat here you should go early. The first time we went here at 5 PM and we have table, the second time we come back at 7h30 PM and all the tables are full and we have to wait for 30 minutes. All the food is delicious and some of them spicy so that you should order them spicy or not spicy. If you go for shopping in one nimman you should go there and try.",,,,,"June 12, 2019"
684,3,"Kao soy was OK, but tom yum was great",มี.ค.-19,Couples,"Based on their name, I would have expected their Khao Soi to be outstanding, but I thought it was just OK, not great. That being said, their tom yum soup was a standout (and made us sweat). Fried chicken w/cold beer was a must and that was great. We went there late (8:30pm), but I think they wanted to close by 9pm, so everything was sort of rushed. Other than that service was OK.",5,4,4,,"June 5, 2019"
13,4,Tasty beef Kao Soy,พ.ค.-19,Solo,Enjoyed the tasty beef Kao Soy here. The beef was soft and the curry for the noodles was really nice. Worth a visit if you are in the area. Yummy!!,,,,,"June 5, 2019"
518,5,Tasty noodles,พ.ค.-19,Friends,Tried their Kad Soy. It's very tasty and we also ordered the dessert and some side dishes. You won't want to miss out this restaurant.,,,,,"May 28, 2019"
133,4,First Time to Taste Curry Mee in Chiang Mai!,พ.ค.-19,Couples,"The first meal after checked in the hotel! The location is not hard to find because I was calling Grab hehee The restaurant was packed. It had tourist, local mixed. Menu is quite simple, curry mee with different ingredients. We ordered Combo curry mee and beef satay. Its my first time to taste Curry mee in Thailand. I did tried in Malaysia and Macau but first time in Chiang Mai. Back to the food. Soup is impressive, thick with beautiful balance of spicy and sweetness. Condiments with raw red onion, lime, and pickled sour veggies. Seems pickled Sour veggies is not popular in Thai but is it affected by China because of the Chiang Mai location? Overall everything is delicious! No doubt for the noodles, the beef satay crispy outside with very juicy meat. The spicy sauce is a great touch for it. Great experience in Chiang Mai! Read less",,,,,"May 13, 2019"
153,5,Great Kao Soy (Northern Style Noodle with spicy soup),พ.ค.-19,Family,It is located in small path of Nimmana Haemindra Road. Recommended menu is Beef Kao Soy (it is a beef Northern Style Noodle with Spicy Soup). The Chicken Satay is also recommended.,5,5,5,,"May 10, 2019"
31,5,Excellent Food.,เม.ย.-19,Solo,My red truck driver recommended the restaurant. Excellent choice. Had sseafood Kao Soy (soup). My driver came back to pick me up. Thai people are friendly and honest. Wonderful place.,,,,,"May 8, 2019"
325,5,Delicious Kao Soy,มี.ค.-19,Solo,"The chicken kao soy was delicious, totally worth a 20 min Grab Taxi from the Old City. I also liked the variety of herbal drink. Highly recommend.",5,5,5,,"May 6, 2019"
32,2,Way too overrated and priced,ก.พ.-19,Solo,"I checked the review and it said it’s the best Kao soi I’m Chiang Mai. But after I took a red car to here for 20mins, disappointed. The food is not worthy of the price. Worse than the street food I tried last few days. I like curry soup. So when I see the soup is way less, I asked can I add more. They showed me, add soup 20bath. Excuse me!",,,,,"February 15, 2019"
262,5,Probably the best in Chiang Mai,ม.ค.-19,Friends,"Khoa Soi being the national dish in Chiang Mai, you will read many reviews for many locations but this place is really the deal.",,,,,"January 20, 2019"
1516,4,Great Khoa Soi Selection in Nimman,ม.ค.-19,Couples,"Koa Soy Nimman Restaurant, Chiang Mai, Thailand Great Khoa Soi Selection We just arrived back to Chiang mai and are on a mission to find the best Khao Soi places in Chiang Mai within the next 3 weeks, so this is the first place we visited on our list. Location, taking a central spot within the Nissam district, just a 5 minute walk from Maya Mall and the New One Nissam Mall. Orientation, north west west of the Chiang Mai Square. From the outside, Open and green, within a nice quiet street in this busy district. There is also a seating area for people waiting to eat as it is a very popular place, so expect to wait 5 to 10 minutes if busy. From the inside, Open with lots of different seating options to suit most group sizes from solo traveller to large groups. Very spacious with lots of greenery around. Menu and drinks, the menu was quite diverse in regards to offering a large selection of Khoa Soi meals, from chicken, pork to seafood including a large bowl option for the hungry. There is also a large selection of curries with a new presentation style, a bowl of curry with a side of noodles, bean sprouts and cabbage to add to the curry. This is a nice option as you can eat the sides separately or within the curry. They also have a good selection of starters and drinks, crispy prawns to cool fusion drinks. The Food, was really good but we were split on the Khoa Soi as we are used to eating only vegan/vegetarian based Khoa Soi’s so this was a different experience. We ordered Khao Soi Shrimp, Red Curry Tray, Won Ton, and Crispy shrimp. The khao soi was very good from my partners perspective, from my side it could have had a little more soup and it felt a little greasy on the tongue but I am pretty Picky when it comes to food hence being a food blogger. The Red curry was super delicious with bags of flavour and plenty of soup. I really liked the option of having everything on the tray and adding to your curry however you wanted. The crispy prawns were 100% crispy and the wan ton was pretty good too. Food was delivered in reverse order, the Khao Soi came out first then the crispy prawn, then the red curry then wan ton. A little wait in each as it is very busy, but worth it. The staff, were really friendly and welcoming, giving us a number to wait for the nest free table. The waiting staff took our order once we pushed the “i want to order button” on the table, and were nicely presented and polite. Recommendation If you enjoy a good thai curry or khao soi then give it a go and see what you think, my partner enjoyed the Khao soi 5/4 but i gave it a 3.5/5. Get there early for a table or expect to wait around 5 to 10 minutes, people are coming in and out frequently. Well done to the staff and restaurant for offering something unique in the area. #LetsGuide #fsya #localguides #travelblogger #garystribe Read less",5,5,4,,"January 13, 2019"
65,5,Excellent Thai food and very efficient service,ม.ค.-19,Couples,"We were staying nearby and kept seeing long line ups of local Thais at this restaurant so decided to go for lunch one day. It was well worth it. They are incredibly organized. There was a long line up so they were handing out tickets with numbers for those in line. We only waited about 10 minutes and were seated inside. The table had a button you pushed when you are ready to order. Within seconds of pushing the button, the server came. The food was delicious and well priced. Excellent chicken satay with spicy peanut sauce and the spring rolls were very delicious too. Great choice!",5,5,5,,"January 11, 2019"
8,3,"Central Nimman location, food was average",ม.ค.-19,,"We stopped by this place for lunch since it was real close to our hotel. We got the pad thai and a flat rice noodle dish. The noodles were a bit too soft, almost overcooked but the flavor was decent.",,,,,"January 8, 2019"
22,4,Delicious Kao Soy and spicy Nam Prik Noom,ธ.ค.-18,Family,"Location - parking space available nearby Staff - Friendly Price - Reasonable Food - Kao Soy was delicious, but Nam Prik Noom was spicier than expected Ambience - Nice seating arrangement with little waiting time",,,,,"December 26, 2018"
10,4,Awesome Kao Soy,พ.ย.-18,Couples,Hubby and I decided to go to this location because it was convenient to where we were staying. There was another khao soy restaurant that had better reviews but a bit further than we wanted to go. That being said we were so glad we went here. The khao soy was so good and this place isn't hurting for business. They opened at 11 and by 12 this place is packed. Prices are a bit higher than others but flavor definitely made up for it! This place was so good that we double dipped and ate here again for our last meal in Chiang Mai. Unfortunately I will never forget this place as I will always compare whatever crap khao soy I can get in the states to this lovely gem in Chiang Mai😣😭 Read less,,,,,"December 16, 2018"
106,4,Delicious northern Thai curry,ธ.ค.-18,Family,"Located down one of the numerous side streets in the Nimman area, this restaurant has a nice outdoor eating area with lots of seating. Even though it seemed busy, we were still seated right away. The Khao Soi that we ordered was very delicious and served quickly after we ordered. I highly recommend the fried pork Khao Soi: the pork was tasty and a little bit crispy and the curry was slightly sweet and spicy.",,,,,"December 9, 2018"
